P_PV,P_Load,P_deferrable0,P_deferrable1,P_grid,cost_fun
2021-09-09 17:00:00+02:00,648.6665579839545,185.41264705882352,0.0,0.0,-463.25391,-0.012245326892058827
2021-09-09 17:30:00+02:00,511.3123027000058,181.7825,0.0,0.0,-329.5298,0.005193520999999996
2021-09-09 18:00:00+02:00,369.64211833930216,178.15235294117647,0.0,0.0,-191.48977,0.013634669420588236
2021-09-09 18:30:00+02:00,236.9753283089971,174.9571875,0.0,0.0,-62.018141,0.021582553085000004
2021-09-09 19:00:00+02:00,99.66882676114288,355.12533333333334,0.0,0.0,255.45651,0.0519903488
2021-09-09 19:30:00+02:00,-1.5,500.6993333333333,0.0,0.0,502.19933,0.0733023824
2021-09-09 20:00:00+02:00,-1.5,702.4966666666667,0.0,0.0,703.99667,0.102845512
2021-09-09 20:30:00+02:00,-1.5,390.4396666666667,0.0,750.0,1141.9397,0.10989162584033334
2021-09-09 21:00:00+02:00,-1.5,436.379,0.0,750.0,1187.879,0.114318294061
2021-09-09 21:30:00+02:00,-1.5,278.46933333333334,0.0,750.0,1029.9693,0.09910227649066669
2021-09-09 22:00:00+02:00,-1.5,385.78200000000004,0.0,750.0,1137.282,0.10944281773800002
2021-09-09 22:30:00+02:00,-1.5,317.29766666666666,0.0,750.0,1068.7977,0.10284373586233334
2021-09-09 23:00:00+02:00,-1.5,324.10633333333334,0.0,750.0,1075.6063,0.10349981217366667
2021-09-09 23:30:00+02:00,-1.5,319.93933333333337,0.0,750.0,1071.4393,0.10309828422066666
2021-09-10 00:00:00+02:00,-1.5,263.13100000000003,3000.0,0.0,3264.631,0.314432040029
2021-09-10 00:30:00+02:00,-1.5,298.519,3000.0,0.0,3300.019,0.317841992321
2021-09-10 01:00:00+02:00,-1.5,206.33033333333333,3000.0,0.0,3207.8303,0.3089587845896667
2021-09-10 01:30:00+02:00,-1.5,307.87166666666667,3000.0,0.0,3309.3717,0.31874320592833333
2021-09-10 02:00:00+02:00,-1.5,292.68933333333337,3000.0,0.0,3294.1893,0.3172802514706667
2021-09-10 02:30:00+02:00,-1.5,193.416,0.0,750.0,944.916,0.090906622344
2021-09-10 03:00:00+02:00,-1.5,269.848,0.0,0.0,271.348,0.0395057472
2021-09-10 03:30:00+02:00,-1.5,204.44933333333333,0.0,0.0,205.94933,0.0299313824
2021-09-10 04:00:00+02:00,-1.5,229.454,0.0,0.0,230.954,0.033592065600000005
2021-09-10 04:30:00+02:00,-1.5,315.10433333333333,0.0,0.0,316.60433,0.046131274400000005
2021-09-10 05:00:00+02:00,-1.5,235.56533333333334,0.0,0.0,237.06533,0.03448676480000001
2021-09-10 05:30:00+02:00,-1.5,248.70499999999998,0.0,0.0,250.205,0.036410412
2021-09-10 06:00:00+02:00,-1.5,234.00266666666667,0.0,0.0,235.50267,0.03425799040000001
2021-09-10 06:30:00+02:00,-1.5,191.84666666666666,0.0,0.0,193.34667,0.028086352000000002
2021-09-10 07:00:00+02:00,-1.5,277.20166666666665,0.0,0.0,278.70167,0.040582324
2021-09-10 07:30:00+02:00,-1.5,365.7543333333333,0.0,0.0,367.25433,0.053546434399999995
2021-09-10 08:00:00+02:00,56.437124920565836,329.39366666666666,0.0,0.0,272.95654,0.0482232328
2021-09-10 08:30:00+02:00,194.70802977017254,380.25699999999995,0.0,0.0,185.54897,0.0556696248
2021-09-10 09:00:00+02:00,338.50110451105934,198.82266666666666,0.0,0.0,-139.67844,0.0200285398
2021-09-10 09:30:00+02:00,482.30021674735923,280.0653125,0.0,0.0,-202.2349,0.027856293249999997
2021-09-10 10:00:00+02:00,616.1673631515539,225.445,0.0,0.0,-390.72236,0.007608194599999996
2021-09-10 10:30:00+02:00,740.1867362951442,202.79098484848484,0.0,0.0,-537.39575,-0.005242123568181822
2021-09-10 11:00:00+02:00,852.0243219010338,180.1369696969697,0.0,0.0,-671.88735,-0.017300625386363636
2021-09-10 11:30:00+02:00,929.9756705259143,1014.5151282051281,0.0,0.0,84.539458,0.14852501476923075
2021-09-10 12:00:00+02:00,987.5555433439063,929.4314705882354,0.0,0.0,-58.124073,0.13229070254911765
2021-09-10 12:30:00+02:00,1042.8632808585633,538.9718421052631,0.0,0.0,-503.89144,0.04615253408421052
2021-09-10 13:00:00+02:00,1078.5581365321511,293.5765271132376,0.0,0.0,-784.98161,-0.008044201080622017
2021-09-10 13:30:00+02:00,1107.5662374831631,48.18121212121212,0.0,0.0,-1059.385,-0.061806295545454554
2021-09-10 14:00:00+02:00,1116.0878242546949,174.58617647058824,0.0,0.0,-941.50165,-0.03563819101470589
2021-09-10 14:30:00+02:00,1082.280161052303,136.65117647058824,0.0,0.0,-945.62898,-0.041460151464705886
2021-09-10 15:00:00+02:00,1027.829047773349,209.2761764705882,0.0,0.0,-818.55287,-0.02256790431470589
2021-09-10 15:30:00+02:00,999.9283101011536,83.97205882352942,0.0,0.0,-915.95625,-0.05144569263382353
2021-09-10 16:00:00+02:00,947.1252989120201,49.910250000000005,0.0,0.0,-897.21505,-0.05350967647025
2021-09-10 16:30:00+02:00,834.0445854074155,66.81027777777778,0.0,0.0,-767.23431,-0.04343245859361112
